Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2015-07-20,93.7134,93.7983,91.1402,91.1402,631601.63495719
2015-07-21,91.6437,92.2872,89.7903,90.8637,553767.20944528
2015-07-22,90.2861,90.2861,82.8783,82.8783,2182850.4938148
2015-07-23,83.521,85.0177,81.6866,81.6866,1606129.9694517
2015-07-24,80.7686,84.3475,77.5738,83.2464,2348755.6652829
2015-07-27,82.6038,92.9754,81.1356,89.9457,3716379.0537087
2015-07-28,89.8637,92.6999,88.1105,89.121,2102656.019015
2015-07-29,90.1945,90.3871,85.6593,85.688,1145566.8753913
2015-07-30,86.688,87.5508,84.8976,86.2743,1063972.1046808
2015-07-31,86.2743,87.5967,85.3762,87.1933,1319219.3019882
2015-08-03,86.2743,87.1019,86.0921,86.6785,528619.57314519
2015-08-04,86.2743,86.7243,84.1272,85.5582,646238.13618478
2015-08-05,85.6327,87.6519,84.6773,87.6519,808704.97806829
2015-08-06,87.1933,87.1933,82.3102,82.8783,906676.39301458
2015-08-07,83.2282,85.3571,82.6038,84.9443,540708.27005274
2015-08-10,85.7251,87.1933,84.623,86.9636,697457.49919499
2015-08-11,86.6423,88.8445,85.3571,86.5507,811243.34219118
2015-08-12,85.4954,85.4954,83.1081,84.8708,1195181.4048858
2015-08-13,85.3209,85.7251,83.6306,83.8889,709060.55040465
2015-08-14,87.1838,87.1838,83.3845,83.8889,636383.61926969
2015-08-17,83.9804,84.0634,82.6953,82.7782,450066.64373899
2015-08-18,82.6133,82.7782,78.7855,79.4824,1104079.3067332
2015-08-19,79.841,79.841,76.6653,77.0971,1447333.2664384
2015-08-20,77.3716,78.5196,76.1791,78.2908,1422986.9979854
2015-08-21,77.0228,77.5472,76.1523,76.9141,1191373.8587015
2015-08-24,73.4257,73.4257,63.5134,67.102,2582059.6487677
2015-08-25,66.0828,71.5905,65.8083,68.5072,1717974.2785671
2015-08-26,68.8362,69.2032,65.4498,65.4498,1411323.1099496
2015-08-27,67.3031,71.5905,67.3031,71.5618,2079095.3847471
2015-08-28,72.9671,73.2884,70.8744,72.9671,1378387.3109998
2015-08-31,72.9671,73.0129,70.1203,72.0767,847873.40495955
2015-09-01,71.0756,71.0756,68.7436,69.6894,633933.36365355
2015-09-02,70.617,72.3789,69.433,70.0384,1232462.8412576
2015-09-03,71.131,74.6088,71.131,73.8843,1313624.4118099
2015-09-04,73.3341,73.3341,70.3053,70.3053,888603.66002394
